Question,Option1,Option2,Option3,Option4,Answer
What is C language?,Markup language,Programming language,Database,Operating system,Programming language
Who developed C language?,James Gosling,Dennis Ritchie,Bjarne Stroustrup,Guido van Rossum,Dennis Ritchie
What is a variable?,Function name,Storage location,Loop,Operator,Storage location
What is a data type?,Type of loop,Type of variable data,Function,Header file,Type of variable data
Which is a valid data type?,int,loop,main,printf,int
What is printf()?,Input function,Output function,Loop,Operator,Output function
What is scanf()?,Output function,Input function,Loop,Operator,Input function
What is a loop?,Condition,Repetition,Function,Variable,Repetition
Which is a loop type?,if,for,printf,scanf,for
What is if statement?,Loop,Decision making,Function,Array,Decision making
What is an array?,Single value,Multiple values,Function,Loop,Multiple values
What is a function?,Variable,Block of code,Loop,Operator,Block of code
What does return do?,Ends program,Sends value back,Starts loop,Declares variable,Sends value back
What is a pointer?,Stores value,Stores address,Loop,Function,Stores address
What is a string?,Single char,Collection of chars,Number,Loop,Collection of chars
What is stdio.h?,Variable,Header file,Loop,Operator,Header file
What is main()?,Loop,Starting function,Variable,Array,Starting function
What is a comment?,Executed code,Ignored text,Loop,Function,Ignored text
What does break do?,Skip iteration,Exit loop,Start loop,Print value,Exit loop
What does continue do?,Exit loop,Skip iteration,Start loop,End program,Skip iteration
