Question,Option1,Option2,Option3,Option4,Answer,RightAnswer
What is C language?,Markup language,Programming language,Database,Operating system,2,2
Who developed C language?,James Gosling,Dennis Ritchie,Bjarne Stroustrup,Guido van Rossum,2,2
What is a variable?,Function name,Storage location,Loop,Operator,2,2
What is printf()?,Input function,Output function,Loop,Operator,2,2
What is scanf()?,Output function,Input function,Loop,Operator,2,2
Which is a loop type?,if,for,printf,scanf,2,2
What is an array?,Single value,Multiple values,Function,Loop,2,2
What is a function?,Variable,Block of code,Loop,Operator,2,2
What is a pointer?,Stores value,Stores address,Loop,Function,2,2
What does break do?,Skip iteration,Exit loop,Start loop,Print value,2,2
